table,field,type,status,rows,source,powers,notes
geo_state,state,CHAR(2) PRIMARY KEY,new,51,Census Gazetteer,all location filters,"50 states + DC. Territories excluded — no lender or buyer coverage there."
geo_state,name,TEXT NOT NULL,new,,Census Gazetteer,result headings,"Full name for display. ""220 lenders licensed in Florida"" reads better than ""in FL""."
geo_state,fips,CHAR(2) NOT NULL UNIQUE,new,,Census Gazetteer,,"Joins to the first two digits of any county GEOID."
geo_county,fips,CHAR(5) PRIMARY KEY,new,3222,2024 Census Gazetteer counties (142 KB),county filter,"GEOID = state FIPS + county FIPS. This must be the key, not the name: county names repeat heavily across states (30+ states have a Washington County). Our current crosswalk stores names only, giving just 1956 distinct names for 3222 counties."
geo_county,name,TEXT NOT NULL,new,,2024 Census Gazetteer counties,county filter,"Full legal name with suffix: ""Palm Beach County"", ""Orleans Parish"", ""Anchorage Municipality"". Suffix varies by state — do not assume ""County""."
geo_county,short_name,TEXT NOT NULL,derive,,derived from name,cash_buyer coverage matching,"Suffix stripped (""Palm Beach""). Required to normalise cash_buyers.coverage[], which stores bare names, against canonical records."
geo_county,state,CHAR(2) NOT NULL,new,,2024 Census Gazetteer counties,county filter,"FK to geo_state."
geo_county,lat,NUMERIC(9|6),new,,2024 Census Gazetteer counties,map/radius,"Gazetteer INTPTLAT. Optional until radius search exists."
geo_county,lng,NUMERIC(9|6),new,,2024 Census Gazetteer counties,map/radius,"Gazetteer INTPTLONG. Optional until radius search exists."
geo_city,id,BIGSERIAL PRIMARY KEY,new,TBD,,,"Row count unknown until the first HUD pull. Census lists 32333 places for scale, but USPS preferred cities are far fewer."
geo_city,name,TEXT NOT NULL,new,,HUD USPS_ZIP_PREF_CITY,city search (PRIMARY GAP),"USPS preferred city name — the decision you made. Matches what is printed on the property address, which is what investors type. NOT a municipal boundary: the ZIPs labelled ""Lake Worth"" cover unincorporated Palm Beach County well beyond Lake Worth Beach city limits."
geo_city,state,CHAR(2) NOT NULL,new,,HUD USPS_ZIP_PREF_STATE,city search,"FK to geo_state. UNIQUE(name, state) — city names repeat across states."
geo_city,primary_county_fips,CHAR(5),new,,derived via geo_zip,city search,"Largest county by ZIP count. Nullable: a city can straddle counties, so treat as a hint not a fact."
geo_city,lat,NUMERIC(9|6),new,,HUD / Census places,map/radius,"Optional until radius search exists."
geo_city,lng,NUMERIC(9|6),new,,HUD / Census places,map/radius,"Optional until radius search exists."
geo_city_alias,city_id,BIGINT NOT NULL,new,TBD,HUD acceptable city names,city search recall,"FK to geo_city. Without aliases, a user typing an ""acceptable"" USPS name (or a former name) gets zero results."
geo_city_alias,alias,TEXT NOT NULL,new,,HUD acceptable city names,city search recall,"Lowercased for matching. Index with pg_trgm for typo tolerance."
geo_zip,zip,CHAR(5) PRIMARY KEY,have,42570,app/data/zip_crosswalk.json,ZIP search (LIVE),"Already built and in production. Leading zeros are significant — keep as text, never integer."
geo_zip,state,CHAR(2) NOT NULL,have,42570,app/data/zip_crosswalk.json,ZIP search (LIVE),"100% populated. Border ZIPs already resolved to the USPS state rather than largest land area."
geo_zip,usps_city,TEXT,new,,HUD USPS_ZIP_PREF_CITY,city search (PRIMARY GAP),"The single missing piece. Everything else about ZIPs is already solved."
geo_zip,primary_county_fips,CHAR(5),derive,33774,derived from existing crosswalk + gazetteer,county filter,"We have the county NAME for 33774 of 42570 ZIPs; converting to FIPS is a join, not new data. The 8796 without a county are PO-box and single-point ZIPs with no Census ZCTA — leave null, never infer."
geo_zip,lat,NUMERIC(9|6),new,,Census ZCTA gazetteer,map/radius,"Optional until radius search exists."
